date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2/13/20 17:57,LeftistBasher,,1,1,0,#MeToo @JimCarrey Liberal hypocrite! Jim Carrey Under Fire for _ÑÉCreepy_Ñé Remark to Female Journalist While Promoting _ÑÉSonic the Hedgehog_Ñé,,@JimCarrey,#MeToo #MeToo,1.23E+18,https://twitter.com/LeftistBasher/status/1228015293928222722
2/13/20 17:56,elaphos_,DanielEllsber10,0,0,1,"And that's probably the biggest reason it will fail, bc if he's criminally liable for this everyone in Hwood will be vulnerable. Multi-billion dollar industries will not fall to #metoo",,,#metoo #metoo,1.23E+18,https://twitter.com/elaphos_/status/1228015179679571969
2/13/20 17:56,sciles79,,0,0,1,"""'Survivor' has moved on from its #MeToo scandal. She hasn't."" ",,,#MeToo #MeToo,1.23E+18,https://twitter.com/sciles79/status/1228015038746656768
2/13/20 17:56,SearcyTalk,,0,0,0,"#MeToo Movement hits Palm Beach County on March 12th! If you are interested in joining the National Council of Jewish Women for a day of thought-provoking learning, please register at the link below. @ncjwpb https://ncjwpalmbeach.org/event/metoo-symposium-at-temple-shaarei-shalom/",,@NCJWPB,#MeToo #MeToo,1.23E+18,https://twitter.com/SearcyTalk/status/1228014988297633797
2/13/20 17:55,amancaytapia,,0,0,0,"Closing arguments in the #WeinsteinTrial and even though when it started the general consensus was that he was guilty, right now it seems as if he will probably be acquitted. Anyone following ? #metoo",,,#WeinsteinTrial #metoo #metoo,1.23E+18,https://twitter.com/amancaytapia/status/1228014914817662977
2/13/20 17:55,PHMPAMERICA,,0,0,0,"#MeToo #DemocracyNow Time_Ñés Up For Harvey Weinstein? Closing Arguments Begin in Rape Trial in NYC Feb 13, 2020 Democracy Now! Closing arguments are scheduled to begin Thursday in the trial of disgraced Hollywood mogul and accused_Ñ_https://lnkd.in/gyT8jAx",,,#MeToo #MeToo #DemocracyNow,1.23E+18,https://twitter.com/PHMPAMERICA/status/1228014833607434240
2/13/20 17:55,IAmTraveller12,TalbertSwan,0,0,0,"FACTS! My my my..... #metoo are very selective, aren't they?!",,,#metoo #metoo,1.23E+18,https://twitter.com/IAmTraveller12/status/1228014759674601472
2/13/20 17:54,BHPanimalwatch,ClimateReality,0,0,1,#ClimateEmergency #MeToo ,,,#ClimateEmergency #MeToo #MeToo,1.23E+18,https://twitter.com/BHPanimalwatch/status/1228014657597820929
2/13/20 17:54,mrjustsaying,WhoWasJacko,2,0,0,Obviously he saw an opportunity to make $$$and went for it. Its an entertainment company for heavens sake. They never even donated a CENT to victims. Its purely profiteering from #MeToo and everyone is just gobbling that shit up.,,,#MeToo #MeToo,1.23E+18,https://twitter.com/mrjustsaying/status/1228014496146493446
2/13/20 17:52,Belsjke76,loesje68,0,0,1, #metoo,,,#metoo #metoo,1.23E+18,https://twitter.com/Belsjke76/status/1228014137533501442
2/13/20 17:52,unknowncookie22,,0,0,0,@Kathbum why are you excusing that horrible cretins behaviour? As an influential woman in the spotlight you should be calling his actions disgusting. In the #metoo era you @Kathbum should know better.,,@Kathbum @Kathbum,#metoo #metoo,1.23E+18,https://twitter.com/unknowncookie22/status/1228014131560828929
2/13/20 17:51,Leonardospg,aline0505,0,0,0,#metoo,,,#metoo #metoo,1.23E+18,https://twitter.com/Leonardospg/status/1228013935879696386
2/13/20 17:51,Chameleon777771,themissybyrd,0,0,0,What right do you have to start calling other people out for their behavior when you LIED about having a #MeToo moment with Dan Spilo on Season 39 just to try and get further in the game? You are a disgrace to legitimate victims of such trauma. Sit down and be quiet.,,,#MeToo #MeToo,1.23E+18,https://twitter.com/Chameleon777771/status/1228013927675514887
2/13/20 17:51,rootofall3vil,jacknjohnnie,0,0,0,Was doing this at the height of Indian #metoo and didn't realise he was being creepy then. Waah launde.,,,#metoo #metoo,1.23E+18,https://twitter.com/rootofall3vil/status/1228013889197088769
2/13/20 17:51,leoberthi,soldier60,0,0,0,#stopIslam #BanIslam #IslamVReich #Islam_is_Terrorism #stopsharia #islamophobiefake #MeToo ,,,#stopIslam #BanIslam #IslamVReich #Islam_is_Terrorism #stopsharia #islamophobiefake #MeToo #MeToo,1.23E+18,https://twitter.com/leoberthi/status/1228013786520530944
2/13/20 17:50,mcraffermi,,0,0,0,#Metoo : La femme qui accusait Philippe CaubÕŒre de viol sera jugÕ©e pour diffamation ,,,#Metoo #Metoo,1.23E+18,https://twitter.com/mcraffermi/status/1228013586318069761
2/13/20 17:50,UPPCinema,,0,0,0,"'Its message is clear: no woman is free from the patriarchy, even if she doesn't believe in it._Ñé _É€_É€_É€_É€ @IndyArts. See US #MeToo drama #Bombshell this weekend. More info: http://bit.ly/BombshellUPP",,@IndyArts,#MeToo #MeToo #Bombshell,1.23E+18,https://twitter.com/UPPCinema/status/1228013482458648576
