date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-13 17:47:34,BuffyCook,,0,4,4,"2 NEW EVENTS ONE IN NYC @adamlambert is going to be on gma MARCH 20 AND THEN MARCH 24 IN LOS ANGELES @adamlambert AT @kelly_clarkson kellyclarksontv !!! #VELVET yayyy!!! ... Thanks 14gelly for sharing info https://www.instagram.com/p/B8hBctyh5GF/?igshid=s9mlpd8ylpfs",,@adamlambert @adamlambert,#VELVET,1228012855271792642,https://twitter.com/BuffyCook/status/1228012855271792642
2020-02-13 17:47:21,buffym04,drewdavison,1,0,2,"How does he know Tyreek hasn’t? My kid spent years in track and football",,,,1228012801274155008,https://twitter.com/buffym04/status/1228012801274155008
2020-02-13 17:47:09,FeebleMinded_,hollydaudy,1,0,1,"Buffy was fire lol",,,,1228012750485540865,https://twitter.com/FeebleMinded_/status/1228012750485540865
2020-02-13 17:46:31,AmethystGoodian,KeikoAgena,0,0,0,"5 shows to get to know me 1. Agents of Shield 2. Buffy the Vampire Slayer 3. Leverage 4. The Flash 5. Dr. Who ",,,,1228012591588528129,https://twitter.com/AmethystGoodian/status/1228012591588528129
2020-02-13 17:45:52,Riteyroo,,0,0,0,"George Lucas originally wanted to call Yoda ""Buffy""",,,,1228012425976385537,https://twitter.com/Riteyroo/status/1228012425976385537
2020-02-13 17:45:46,buffym04,King_kevvoo,1,0,1,"Oh yes I for sure would’ve been in jail if I was the lady in front of him",,,,1228012400453935104,https://twitter.com/buffym04/status/1228012400453935104
2020-02-13 17:45:09,JoshuaUnruh,chipmunkofpower,1,0,1,"The Gray Angel: Heroes & Monsters The elevator pitch is ""What if Buffy the Vampire Slayer grew up to be Batman?""",,,,1228012245348757506,https://twitter.com/JoshuaUnruh/status/1228012245348757506
2020-02-13 17:45:01,BuffyBlogs,myownpetard,0,0,2,"Train wreck. None of us can avert our eyes.",,,,1228012211492151296,https://twitter.com/BuffyBlogs/status/1228012211492151296
2020-02-13 17:44:31,BuffyCook,,0,0,0,"From poprepublic .... queenwillrock @adamlambert in Brisbane tonight! #adamlambert #qal #therhapsodytour credit on pics https://www.instagram.com/p/B8hBGaLh8rN/?igshid=gevx90g63vmr",,@adamlambert,#adamlambert #qal #therhapsodytour,1228012086288146432,https://twitter.com/BuffyCook/status/1228012086288146432
2020-02-13 17:44:00,babecicada,SimplySara__,1,0,4,"Literally what on EARTH are you talking about?",,,,1228011955270479873,https://twitter.com/babecicada/status/1228011955270479873
2020-02-13 17:43:58,HerbatkaLipton,,0,0,2,"Makes you think",,,,1228011949239291907,https://twitter.com/HerbatkaLipton/status/1228011949239291907
2020-02-13 17:41:51,krisieeh,,0,0,2,"(Spoiler for S2 of Buffy) but DEAR GOD THAT SCENE WITH GILES FINDING JENNY AND THE TEARS ",,,,1228011417632215040,https://twitter.com/krisieeh/status/1228011417632215040
2020-02-13 17:41:29,K8rs_gonna_Kate,DanteMedema,0,0,1,"100% yes . And #2 had some serious Buffy vibes going on.",,,,1228011324887748613,https://twitter.com/K8rs_gonna_Kate/status/1228011324887748613
2020-02-13 17:39:59,BobAKABuffy,markos,0,0,0,"When you're fed lies, it's okay if you believe lies I guess?",,,,1228010945026199552,https://twitter.com/BobAKABuffy/status/1228010945026199552
2020-02-13 17:39:55,babecicada,SimplySara__,0,0,0,"Girl....what?",,,,1228010928160964609,https://twitter.com/babecicada/status/1228010928160964609
2020-02-13 17:39:52,J_Buffy25,mcriahcarey,0,0,0,"It’s crazy how much @KELLYROWLAND resembles this lady. like WTF.... DONNA has to be a long lost family member or something!",,@KELLYROWLAND,,1228010916421275649,https://twitter.com/J_Buffy25/status/1228010916421275649
2020-02-13 17:39:43,ShuaAllyn,cullenbunn,0,1,1,"You know, mixing one of your top movies and tv shows (Tombstone and Buffy) is a pretty good description of 6th Gun. In fact, that’s EXACTLY how I describe it to my friends.",,,,1228010876914941953,https://twitter.com/ShuaAllyn/status/1228010876914941953
2020-02-13 17:39:11,Alexkactus,tyoegel,0,0,1,"5 Shows To Get To Know Me: Crazy Ex-Girlfriend Westworld Twin Peaks Buffy the Vampire Slayer Charmed (OG) ",,,,1228010745348132866,https://twitter.com/Alexkactus/status/1228010745348132866
2020-02-13 17:39:01,Buffy_Sketch,Blizzard_draco,1,0,0,"That's trading for ya. Even for the most common pokemon all I see is request for legendaries",,,,1228010702876692481,https://twitter.com/Buffy_Sketch/status/1228010702876692481
2020-02-13 17:38:35,paciorettys,,1,0,1,"this girl i used to be best friends with and then ""broke up"" with me and turned all of our friends against me almost entirely because i went back across the country to college and couldn't talk to them 24/7 after summer is a fan of the same buffy podcast i am and i occasionally",,,,1228010592646070275,https://twitter.com/paciorettys/status/1228010592646070275
2020-02-13 17:38:22,BobAKABuffy,TinaJordanNYT,0,0,0,"Clearly it's a dry weather day! Or are they 'inside only'?",,,,1228010537289580544,https://twitter.com/BobAKABuffy/status/1228010537289580544
2020-02-13 17:37:46,Miguetovart_,VodafoneTV_es,0,0,0,"Buffy ",,,,1228010387083231232,https://twitter.com/Miguetovart_/status/1228010387083231232
2020-02-13 17:37:35,Buffy_Sketch,Bomboclaato,0,0,5,"My heart when I have a new crush but never going to interact with",,,,1228010341784748039,https://twitter.com/Buffy_Sketch/status/1228010341784748039
2020-02-13 17:36:41,HaileeTomassone,katejock,0,0,1,"If you skip season 5 of Buffy we can’t be friends.",,,,1228010114487083008,https://twitter.com/HaileeTomassone/status/1228010114487083008
2020-02-13 17:36:21,BuffyCook,,0,1,5,"From andrewtmcmillen ...... ""I gotta be cool, relax , get wet .... #adamlambert #qal #therhapsodytour #brianmayforreal #rogertaylorofficial #Brisbane https://www.instagram.com/p/B8hAHrShlGt/?igshid=1hf115fy1gl8",,,#adamlambert #qal #therhapsodytour #brianmayforreal #rogertaylorofficial #Brisbane,1228010033448923139,https://twitter.com/BuffyCook/status/1228010033448923139
2020-02-13 17:35:15,Always_Buffy,,0,0,1,"“I’m so inspired by your [Principle Snyder] leadership, that I’m thinkin’ principle school. I wanna walk in your shoes. Not your actual shoes, of course, because you’re a tiny person. Not ‘tiny’ in the small sense, of course.... Okay, I’m done now.” ~Xander, 2.09 #Buffy #BtVS",,,#Buffy #BtVS,1228009753042968578,https://twitter.com/Always_Buffy/status/1228009753042968578
2020-02-13 17:35:14,fluffymamita,Robyn_Mowatt,0,0,0,"Thank you bby ",,,,1228009751214206977,https://twitter.com/fluffymamita/status/1228009751214206977
2020-02-13 17:35:09,FeebleMinded_,hollydaudy,0,0,1,"Ppl don’t even remember the Buffy/Angel crossover either ",,,,1228009728682450945,https://twitter.com/FeebleMinded_/status/1228009728682450945
2020-02-13 17:34:43,fluffymamita,,0,0,0,"“Baddie in a Uber, grabbing on her Fupa”",,,,1228009620444151810,https://twitter.com/fluffymamita/status/1228009620444151810
2020-02-13 17:34:29,buffyscully,,1,0,13,"ok so we had an oral presentation due today and we got to choose the subject (anything related to psychology) and this one guy in my class chose gone girl, and then right after an other guy gave a presentation about buffy??? i was such a fangirl the whole time",,,,1228009560599932929,https://twitter.com/buffyscully/status/1228009560599932929
2020-02-13 17:33:27,geek4grammar,bufferingcast,0,0,0,"My dad and stepmom just finished their inaugural buffy watch, I'm so psyched to share all these incredible cast interviews with them now!!! ",,,,1228009302184648705,https://twitter.com/geek4grammar/status/1228009302184648705
2020-02-13 17:33:02,BuffyCook,,0,0,1,"From http://couriermail.com ..... IF ANY band could pull a devoted sold-out stadium crowd in torrential rain, it was always going to be Queen and Adam Lambert. The group kicked off the Australian leg of their Rhapsody… https://www.instagram.com/p/B8g_yT1hYJy/?igshid=1wxppnk8l6pu",,,,1228009195636756481,https://twitter.com/BuffyCook/status/1228009195636756481
2020-02-13 17:30:58,blacksaltbae,KydSplash,0,0,0,"It isn’t in my blood ",,,,1228008675786346497,https://twitter.com/blacksaltbae/status/1228008675786346497
2020-02-13 17:30:44,Htxxcece,,0,0,0,"I was gonna eat and take a nap before work. But imma do my homework",,,,1228008619033145352,https://twitter.com/Htxxcece/status/1228008619033145352
2020-02-13 17:30:27,buffy13,,0,0,0,"Win a #LifeOfAdventure with @ExodusTravels – Enter now at https://lifeofadventureaustralia.exodustravels.com?ref_id=21b9b20c77415b088267ecfea3628e99 #LifeOfAdventure with Exodus",,@ExodusTravels,#LifeOfAdventure #LifeOfAdventure,1228008544902901760,https://twitter.com/buffy13/status/1228008544902901760
2020-02-13 17:30:21,BuffyCook,,0,0,0,"From rollingstone .... @adamlambert will perform at the 31st annual @glaad Media Awards in New York. Honoring media for fair, accurate, and inclusive representations of LGBTQ people and issues, the event takes… https://www.instagram.com/p/B8g_ewiBbe-/?igshid=t1lbtbmiv5m5",,@adamlambert @glaad,,1228008523092525056,https://twitter.com/BuffyCook/status/1228008523092525056
2020-02-13 17:30:20,fluffymamita,,1,0,20,"I buy so much lingerie and wear it with jeans or never wear it at all.",,,,1228008516788596741,https://twitter.com/fluffymamita/status/1228008516788596741
2020-02-13 17:29:17,itsshamibitch,MarcSnetiker,0,0,0,"I just knew that this was about Buffy ",,,,1228008251507142656,https://twitter.com/itsshamibitch/status/1228008251507142656
2020-02-13 17:28:31,joseph_elliott,,6,0,48,"As a teenager, the sign of a great day was when they changed the clips on the opening credits of Buffy ",,,,1228008060930621441,https://twitter.com/joseph_elliott/status/1228008060930621441
2020-02-13 17:28:28,BuffyCook,,0,0,0,"More amazing pics from #qal show last nyt in Brisbane .... by gettyimages Marc Grimwade ... #adamlambert #qal #therhapsodytour #brianmayforreal #rogertaylorofficial https://www.instagram.com/p/B8g_QhFhW5S/?igshid=tbopz40b8ej6",,,#qal #adamlambert #qal #therhapsodytour #brianmayforreal #rogertaylorofficial,1228008049698361344,https://twitter.com/BuffyCook/status/1228008049698361344
2020-02-13 17:28:16,BuffyCook,,0,0,0,"Wow!!! These are some amazing pics from #qal show last nyt in Brisbane ... by gettyimages Marc Grimwade #adamlambert #qal #therhapsodytour #brianmayforreal #rogertaylorofficial https://www.instagram.com/p/B8g_O82hrL6/?igshid=96ecubg259mq",,,#qal #adamlambert #qal #therhapsodytour #brianmayforreal #rogertaylorofficial,1228007995654754304,https://twitter.com/BuffyCook/status/1228007995654754304
2020-02-13 17:27:42,BuffyCook,,0,0,0,"Loving these amazing pics from last nyts #qal show in Brisbane ... by gettyimages marc Grimwade ... #adamlambert #qal #therhapsodytour #brianmayforreal #rogertaylorofficial https://www.instagram.com/p/B8g_LMIh1HP/?igshid=l8hn7eh9oh6m",,,#qal #adamlambert #qal #therhapsodytour #brianmayforreal #rogertaylorofficial,1228007856089288704,https://twitter.com/BuffyCook/status/1228007856089288704
2020-02-13 17:27:42,Sora_Miyano,,0,0,0,"EARLY ACCESS | Buffy! The Vampire Slayer Reaction S02E09 What's My Line ",,,,1228007855435001856,https://twitter.com/Sora_Miyano/status/1228007855435001856
